label,n_trades,total_ret,ann_return,sharpe,max_drawdown,calmar,hit_rate,avg_win,avg_loss,profit_factor,split,strategy,entry_pct,hold_bars,cost_model,vpin_regime_pct
VPIN_CVD,1873,-1.9200655096404116,-538.8074916534972,-118.79748158308858,-0.8584440311913615,-627.6559357116528,0.391350774159103,0.0039254458806521645,-0.004208260824700393,0.599771007294313,test,VPIN_CVD,0.8,,taker,0.33
VPIN_CVD,1873,-1.1708655096404113,-328.56749165349714,-72.44329587683191,-0.7081515801880549,-463.9790418405105,0.4367325146823278,0.003897716415371196,-0.004131940793757393,0.7314034292800164,test,VPIN_CVD,0.8,,maker,0.33
VPIN_CVD,1641,-1.8766527399996975,-601.0778063033765,-143.86898487851678,-0.847908999257701,-708.8942408083744,0.3912248628884826,0.003594739645503136,-0.004188664256669379,0.551520208792126,test,VPIN_CVD,0.85,,taker,0.33
VPIN_CVD,1641,-1.2202527399996974,-390.83780630337657,-93.54768693062174,-0.711092631477143,-549.6299483394935,0.43205362583790374,0.0036345835551624055,-0.0040742193997959685,0.678641740339454,test,VPIN_CVD,0.85,,maker,0.33
VPIN_CVD,2088,-2.189683973898084,-551.196310670897,-125.00729740078138,-0.8916749345932722,-618.1583548968091,0.3903256704980843,0.003811758615232459,-0.004160461308179528,0.5865608979916819,test,VPIN_CVD,0.8,,taker,0.4
VPIN_CVD,2088,-1.354483973898084,-340.95631067089704,-77.32640096380904,-0.759610090124502,-448.8570058554823,0.42911877394636017,0.0038485694534736723,-0.004029196480042362,0.7179804796644252,test,VPIN_CVD,0.8,,maker,0.4
VPIN_CVD,1846,-2.1743880903734603,-619.0998809860729,-143.93590586219506,-0.8886386730194192,-696.6834775291665,0.3856988082340195,0.003646708622810834,-0.004207094029819025,0.5442341431986898,test,VPIN_CVD,0.85,,taker,0.4
VPIN_CVD,1846,-1.43598809037346,-408.85988098607294,-95.05674148524595,-0.7793626227000516,-524.608018241373,0.4219934994582882,0.003713701785937571,-0.004057133815950167,0.6682834908659165,test,VPIN_CVD,0.85,,maker,0.4
VPIN_CVD,2384,-2.093944795002761,-461.6515873546355,-108.81210209726966,-0.8810947331151778,-523.9522721040802,0.39471476510067116,0.0038630152320782646,-0.003970230165203333,0.6345035089501441,test,VPIN_CVD,0.8,,taker,0.5
VPIN_CVD,2384,-1.1403447950027612,-251.41158735463563,-59.258159315402054,-0.7051968558277122,-356.5126322912285,0.44043624161073824,0.0038410078614120667,-0.003878113230498824,0.7795754971930546,test,VPIN_CVD,0.8,,maker,0.5
VPIN_CVD,2112,-2.1623547112578443,-538.1314565516681,-129.5578762829792,-0.886282606861028,-607.1781758840821,0.39015151515151514,0.003676984343910527,-0.004031203269130527,0.5835370450389489,test,VPIN_CVD,0.85,,taker,0.5
VPIN_CVD,2112,-1.317554711257844,-327.891456551668,-78.94153044756658,-0.7495799688600197,-437.433589708025,0.4384469696969697,0.003647905034524518,-0.003959118695807377,0.7194014341579423,test,VPIN_CVD,0.85,,maker,0.5
